acc_x,acc_y,acc_z
-3.409447,-3.232271,9.905115
-1.977671,-3.253819,10.046377
-1.405439,-2.291321,9.771035
-0.699128,-0.557866,9.972155
0.299284,0.593780,9.950606
0.519558,1.984854,9.914692
0.512375,2.808484,9.979338
0.550683,0.732648,9.859624
0.064645,0.292102,9.926663
0.098165,0.284919,9.909904
0.256187,0.067040,9.931452
0.270553,0.031126,9.943423
0.129291,0.239427,9.921875
0.124502,0.244216,9.917087
0.122108,0.251399,9.909904
0.124502,0.265765,9.912297
0.141262,0.256187,9.931452
0.114925,0.265765,9.924269
0.119714,0.260976,9.941029
0.119714,0.258582,9.921875
0.129291,0.253793,9.921875
0.117319,0.270553,9.924269
0.105348,0.253793,9.941029
0.131685,0.241822,9.926663
0.124502,0.256187,9.909904
0.114925,0.265765,9.931452
0.119714,0.258582,9.945818
0.131685,0.260976,9.917087
0.119714,0.251399,9.929058
0.126897,0.244216,9.924269
0.110137,0.241822,9.924269
0.117319,0.253793,9.924269
0.136474,0.265765,9.929058
0.131685,0.260976,9.931452
0.126897,0.258582,9.924269
0.129291,0.239427,9.938635
0.110137,0.265765,9.909904
0.114925,0.249005,9.919480
0.129291,0.249005,9.926663
0.124502,0.253793,9.929058
0.126897,0.275342,9.921875
0.124502,0.246610,9.929058
0.126897,0.258582,9.917087
0.119714,0.251399,9.929058
0.138868,0.263370,9.917087
0.126897,0.253793,9.919480
0.126897,0.246610,9.909904
0.129291,0.265765,9.926663
0.119714,0.249005,9.924269
0.134079,0.253793,9.926663
0.126897,0.234639,9.929058
0.126897,0.253793,9.933846
0.119714,0.260976,9.938635
0.126897,0.253793,9.917087
0.119714,0.251399,9.917087
0.131685,0.268159,9.933846
0.138868,0.258582,9.912297
0.117319,0.251399,9.929058
0.129291,0.260976,9.914692
0.131685,0.263370,9.919480
0.112531,0.268159,9.933846
0.129291,0.251399,9.924269
0.117319,0.265765,9.914692
0.122108,0.256187,9.909904
0.138868,0.251399,9.912297
0.122108,0.260976,9.948212
0.126897,0.263370,9.924269
0.146051,0.263370,9.881172
0.181965,0.251399,9.943423
